id,section,value,claim,evidence_type,context_note,publisher,publication_date,research_period,geography,sample_size,source_url,source_type
AM001,adoption,18%,US firms that used AI in a business function during the supplement reference period.,observed adoption,"Firm adoption, employment-weighted adoption, and worker task use are different measures. The survey does not isolate marketing departments.","U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM002,adoption,32%,US firm AI use on an employment-weighted basis during the same period.,observed adoption,Employment weighting answers a different question from the 18% firm-level estimate by giving more influence to larger employers.,"U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM003,adoption,22%,US firms expected to use AI in a business function within six months.,projection,"This is a stated expectation, not observed future adoption.","U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM004,adoption,57%,AI-using firms that integrated AI into three or fewer business functions.,observed adoption,"Firm adoption, employment-weighted adoption, and worker task use are different measures. The survey does not isolate marketing departments.","U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM005,marketing-use-cases,52%,"AI-using firms that deployed AI in sales and marketing, the most common function reported.",observed adoption,"Firm adoption, employment-weighted adoption, and worker task use are different measures. The survey does not isolate marketing departments.","U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM006,adoption,23%,US firms reporting that workers used AI in work-related tasks.,observed adoption,"Firm adoption, employment-weighted adoption, and worker task use are different measures. The survey does not isolate marketing departments.","U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM007,content-and-campaigns,85%,Task-level AI adopters reporting generative AI use for writing and editing.,observed adoption,"The base is firms reporting task-level adoption, not all firms.","U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM008,human-review,66%,Firms experiencing AI-related task effects that used AI only to augment tasks.,observed operating model,"Firm adoption, employment-weighted adoption, and worker task use are different measures. The survey does not isolate marketing departments.","U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM009,measured-outcomes,2%,AI-using firms reporting AI-related employment decreases.,observed outcome,The report also cautions against causal interpretation of its regression evidence.,"U.S. Census Bureau, Center for Economic Studies",2026-04,November 2025 to January 2026,United States,Nationally representative Business Trends and Outlook Survey AI supplement; exact n not stated on the summary page,https://www.census.gov/library/working-papers/2026/adrm/CES-WP-26-25.html,Government statistical working paper
AM010,adoption,20.2%,Firms across OECD countries with available data that reported using AI in 2025.,observed adoption,Coverage is limited to countries with available data. Definitions and business-size thresholds can vary by national source.,OECD,2026-01-28,2025,OECD countries where data were available,National business ICT surveys compiled in the OECD ICT Access and Usage Database; n varies by country,https://www.oecd.org/en/about/news/announcements/2026/01/ai-use-by-individuals-surges-across-the-oecd-as-adoption-by-firms-continues-to-expand.html,Official intergovernmental statistics
